gene,split,n_variants,n_pos,n_neg,pos_ratio,sym,n,pos,movers
2521,val,73,9,64,0.1233,FUS,73,9,0
2531,val,2,1,1,0.5,KDSR,2,1,0
2623,val,19,8,11,0.4211,GATA1,19,8,0
2625,val,51,6,45,0.1176,GATA3,51,6,0
26960,val,49,3,46,0.0612,NBEA,49,3,0
27125,val,36,4,32,0.1111,AFF4,36,4,0
2719,val,72,8,64,0.1111,GPC3,72,8,1
2767,val,65,3,62,0.0462,GNA11,65,3,0
2776,val,7,4,3,0.5714,GNAQ,7,4,0
2909,val,4,1,3,0.25,ARHGAP35,4,1,0
29844,val,1,1,0,1.0,TFPT,1,1,0
3020,val,8,8,0,1.0,H3-3A,8,8,0
3021,val,6,4,2,0.6667,H3-3B,6,4,0
3239,val,13,1,12,0.0769,HOXD13,13,1,0
3417,val,19,2,17,0.1053,IDH1,19,2,0
3418,val,24,1,23,0.0417,IDH2,24,1,0
3551,val,37,2,35,0.0541,IKBKB,37,2,0
3572,val,22,1,21,0.0455,IL6ST,22,1,0
367,val,90,56,34,0.6222,AR,90,56,0
3702,val,25,1,24,0.04,ITK,25,1,1
3799,val,4,1,3,0.25,KIF5B,4,1,0
387,val,2,1,1,0.5,RHOA,2,1,0
3899,val,9,2,7,0.2222,AFF3,9,2,0
4087,val,81,6,75,0.0741,SMAD2,81,6,0
4094,val,65,12,53,0.1846,MAF,65,12,1
4149,val,96,11,85,0.1146,MAX,96,11,1
4261,val,71,8,63,0.1127,CIITA,71,8,0
4330,val,11,3,8,0.2727,MN1,11,3,0
4352,val,68,42,26,0.6176,MPL,68,42,2
4478,val,13,1,12,0.0769,MSN,13,1,0
4613,val,25,6,19,0.24,MYCN,25,6,0
463,val,13,1,12,0.0769,ZFHX3,13,1,0
476,val,72,7,65,0.0972,ATP1A1,72,7,3
4781,val,8,8,0,1.0,NFIB,8,8,0
4791,val,32,4,28,0.125,NFKB2,32,4,0
4841,val,17,3,14,0.1765,NONO,17,3,0
4849,val,32,5,27,0.1562,CNOT3,32,5,0
4853,val,141,5,136,0.0355,NOTCH2,141,5,0
4915,val,48,2,46,0.0417,NTRK2,48,2,0
492,val,22,1,21,0.0455,ATP2B3,22,1,0
4921,val,34,2,32,0.0588,DDR2,34,2,0
5077,val,60,27,33,0.45,PAX3,60,27,0
5081,val,7,1,6,0.1429,PAX7,7,1,0
5087,val,16,7,9,0.4375,PBX1,16,7,1
5093,val,1,1,0,1.0,PCBP1,1,1,0
51119,val,24,8,16,0.3333,SBDS,24,8,0
5155,val,28,1,27,0.0357,PDGFB,28,1,0
5159,val,91,7,84,0.0769,PDGFRB,91,7,0
5295,val,62,9,53,0.1452,PIK3R1,62,9,0
5296,val,61,3,58,0.0492,PIK3R2,61,3,2
5324,val,2,1,1,0.5,PLAG1,2,1,0
53335,val,14,5,9,0.3571,BCL11A,14,5,0
5430,val,21,5,16,0.2381,POLR2A,21,5,0
5468,val,18,6,12,0.3333,PPARG,18,6,0
54880,val,74,7,67,0.0946,BCOR,74,7,0
54949,val,94,12,82,0.1277,SDHAF2,94,12,0
5518,val,50,13,37,0.26,PPP2R1A,50,13,3
55294,val,17,2,15,0.1176,FBXW7,17,2,0
5551,val,79,49,30,0.6203,PRF1,79,49,2
5566,val,6,1,5,0.1667,PRKACA,6,1,0
5594,val,6,6,0,1.0,MAPK1,6,6,0
57167,val,55,3,52,0.0545,SALL4,55,3,1
5788,val,61,3,58,0.0492,PTPRC,61,3,0
5879,val,9,6,3,0.6667,RAC1,9,6,0
5885,val,54,5,49,0.0926,RAD21,54,5,1
5888,val,52,2,50,0.0385,RAD51,52,2,0
5927,val,13,1,12,0.0769,KDM5A,13,1,0
5970,val,21,4,17,0.1905,RELA,21,4,0
6125,val,36,7,29,0.1944,RPL5,36,7,0
6418,val,9,2,7,0.2222,SET,9,2,0
64919,val,45,2,43,0.0444,BCL11B,45,2,2
6495,val,21,6,15,0.2857,SIX1,21,6,0
6605,val,173,9,164,0.052,SMARCE1,173,9,3
6657,val,24,8,16,0.3333,SOX2,24,8,0
668,val,17,10,7,0.5882,FOXL2,17,10,0
6777,val,25,1,24,0.04,STAT5B,25,1,1
6934,val,21,2,19,0.0952,TCF7L2,21,2,0
6935,val,15,2,13,0.1333,ZEB1,15,2,0
6938,val,41,12,29,0.2927,TCF12,41,12,0
695,val,74,45,29,0.6081,BTK,74,45,0
6957,val,108,7,101,0.0648,TRB,108,7,5
701,val,204,7,197,0.0343,BUB1B,204,7,5
7026,val,6,1,5,0.1667,NR2F2,6,1,0
7030,val,5,2,3,0.4,TFE3,5,2,0
7080,val,33,22,11,0.6667,NKX2-1,33,22,0
7128,val,40,5,35,0.125,TNFAIP3,40,5,0
7170,val,26,8,18,0.3077,TPM3,26,8,0
7343,val,12,1,11,0.0833,UBTF,12,1,0
7468,val,50,3,47,0.06,NSD2,50,3,3
7750,val,17,9,8,0.5294,ZMYM2,17,9,0
7849,val,42,2,40,0.0476,PAX8,42,2,0
7852,val,13,2,11,0.1538,CXCR4,13,2,0
79718,val,56,11,45,0.1964,TBL1XR1,56,11,0
80204,val,35,9,26,0.2571,FBXO11,35,9,1
8021,val,13,1,12,0.0769,NUP214,13,1,0
8239,val,89,6,83,0.0674,USP9X,89,6,0
8241,val,23,4,19,0.1739,RBM10,23,4,0
8405,val,4,4,0,1.0,SPOP,4,4,0
841,val,29,1,28,0.0345,CASP8,29,1,0
84231,val,10,6,4,0.6,TRAF7,10,6,0
84295,val,18,6,12,0.3333,PHF6,18,6,1
84433,val,87,4,83,0.046,CARD11,87,4,4
8452,val,53,8,45,0.1509,CUL3,53,8,0
8493,val,29,8,21,0.2759,PPM1D,29,8,1
8651,val,2,1,1,0.5,SOCS1,2,1,0
8726,val,16,1,15,0.0625,EED,16,1,0
894,val,23,9,14,0.3913,CCND2,23,9,0
90,val,35,3,32,0.0857,ACVR1,35,3,0
9321,val,100,6,94,0.06,TRIP11,100,6,0
9715,val,2,1,1,0.5,FAM131B,2,1,0
9935,val,15,6,9,0.4,MAFB,15,6,0
